first_hospital_id,gamma_blup,gamma_blup_se,outcome,unit
BMC,-2.6165504767775487,0.07704056515693734,death_hospice,icu
HCG,-2.3660015106054755,0.10729470167248226,death_hospice,icu
JHH,-2.7621246969215365,0.11255868965041306,death_hospice,icu
SMH,-2.551799472067138,0.11383054741349363,death_hospice,icu
SUB,-2.33922792807678,0.12652627332505834,death_hospice,icu
UCMC,-2.7993372627576854,0.09491227800734205,death_hospice,icu
EDH,-2.568729662591473,0.15072754947695302,death_hospice,icu
EHH,-2.6331343967540373,0.2082051134345742,death_hospice,icu
EJCH,-2.632003922616623,0.17327096314055465,death_hospice,icu
ESJH,-2.4568060718808518,0.17202355414096482,death_hospice,icu
EUH,-2.4895603168190714,0.135219782370899,death_hospice,icu
EUHM,-2.5478264747084065,0.14530493335013125,death_hospice,icu
nu_cdh,-2.5597715357211674,0.13320177993275295,death_hospice,icu
nu_dh,-2.302171131796713,0.15566269748459485,death_hospice,icu
nu_hh,-2.847329664360177,0.17667801368922953,death_hospice,icu
nu_kh,-2.5885866317730155,0.1547892229275609,death_hospice,icu
nu_lfh,-2.9238157476397486,0.14349612909171025,death_hospice,icu
nu_mh,-3.020776341638605,0.17113969517981414,death_hospice,icu
nu_nmh,-2.540737078408377,0.07690751326538421,death_hospice,icu
nu_ph,-2.651144214484648,0.178552811186186,death_hospice,icu
nu_vwh,-2.5561309553644445,0.25167677073589695,death_hospice,icu
nu_wh,-2.610066883757572,0.24549075871107232,death_hospice,icu
hmc,-2.4987130932438975,0.18786518822064582,death_hospice,icu
ohsu,-2.1816821815564955,0.1324581403654504,death_hospice,icu
Grand Itasca,-2.7729186301843693,0.19508432719547847,death_hospice,icu
Lakes,-2.6143443745031307,0.11962179231906794,death_hospice,icu
Northland,-2.5255376456028316,0.1740387199397177,death_hospice,icu
Ranges/Hibbing,-2.515699364186016,0.18295242408212992,death_hospice,icu
Ridges,-2.654450526082725,0.0974948771217972,death_hospice,icu
Riverside,-2.493652540458422,0.234467495909279,death_hospice,icu
Southdale,-2.6828018568877727,0.17750101311633792,death_hospice,icu
St. Joes,-2.362391368246637,0.18542216077788667,death_hospice,icu
St. Johns,-2.4231693335957276,0.10871574498294284,death_hospice,icu
UMMC,-2.308179613749649,0.1407877873373341,death_hospice,icu
Woodwinds,-2.3772126375239004,0.12579500617849756,death_hospice,icu
1000,-2.8229538370256355,0.12831205615508004,death_hospice,icu
RUMC,-2.4186430450341954,0.10582613413010555,death_hospice,icu
UMich,-2.195545461511143,0.14211635212583315,death_hospice,icu
cch,-2.337993460766531,0.08514989483906776,death_hospice,icu
hup,-2.572927970964632,0.08196986987660394,death_hospice,icu
hupme,-2.4959442702514623,0.16538485058966473,death_hospice,icu
pah,-2.4662178304749585,0.10788740725008987,death_hospice,icu
ppmc,-2.756981036053187,0.09763218122447163,death_hospice,icu
umcop,-2.280235842554781,0.09843908256969444,death_hospice,icu
BMC,-4.460395479796731,0.2317625386699929,death_hospice,ward
HCG,-4.036946111607395,0.26919280210662566,death_hospice,ward
JHH,-3.8965940782196786,0.22073234083867654,death_hospice,ward
SMH,-3.735069813759908,0.279151285386272,death_hospice,ward
SUB,-3.9598871387822765,0.2387786419681499,death_hospice,ward
UCMC,-4.254664900185753,0.18638758406544814,death_hospice,ward
EDH,-3.674879096000793,0.32822965721281133,death_hospice,ward
EHH,-3.4461689550535053,0.40132161582144993,death_hospice,ward
EJCH,-3.2420522119262625,0.3243576099853822,death_hospice,ward
ESJH,-3.3143901715629873,0.2783544553034717,death_hospice,ward
EUH,-3.9023656504871127,0.37474536243501405,death_hospice,ward
EUHM,-3.5601357202088595,0.262031548532982,death_hospice,ward
hmc,-2.652825187308999,0.21774021532328564,death_hospice,ward
ohsu,-3.6879701728334986,0.2646224196285163,death_hospice,ward
Grand Itasca,-2.6616740890276676,0.3202441434963701,death_hospice,ward
Lakes,-3.3738696752267057,0.2852370738802634,death_hospice,ward
Northland,-3.6788330696720184,0.3433346919141791,death_hospice,ward
Ranges/Hibbing,-3.303196288593787,0.3860543357826899,death_hospice,ward
Ridges,-3.4473393505712893,0.12568062145071457,death_hospice,ward
Riverside,-3.572268730744426,0.4745195381105324,death_hospice,ward
Southdale,-3.4323137465253466,0.18618993246908921,death_hospice,ward
St. Joes,-3.4049497979747314,0.20246291923204,death_hospice,ward
St. Johns,-3.658777006776832,0.11810449650655293,death_hospice,ward
UMMC,-4.3905583109175135,0.25610716437224346,death_hospice,ward
Woodwinds,-3.594479327051082,0.18829169888442368,death_hospice,ward
