first_hospital_id,gamma_blup,gamma_blup_se,outcome,unit
BMC,-2.607120825497164,0.07750838890816127,death_hospice,icu
HCG,-2.3469238990569226,0.10812485728638291,death_hospice,icu
JHH,-2.74054136836677,0.1139155478938962,death_hospice,icu
SUB,-2.3135016789802956,0.127826329317807,death_hospice,icu
hmc,-2.43944597986974,0.19138317605063018,death_hospice,icu
ohsu,-2.1627702874715102,0.13455967507065772,death_hospice,icu
Lakes,-2.587106167851158,0.12073961968904871,death_hospice,icu
Northland,-2.4731617926207594,0.17697441124273108,death_hospice,icu
Riverside,-2.406154792281049,0.2401510362743996,death_hospice,icu
Southdale,-2.623559772526348,0.18057879491391002,death_hospice,icu
UMMC,-2.2844142595418915,0.1432531046815044,death_hospice,icu
BMC,-2.6196381449230532,0.13782355347754055,death_hospice,stepdown
HCG,-2.3010702854307143,0.09653416241795118,death_hospice,stepdown
JHH,-2.4628477629565673,0.12125416058537272,death_hospice,stepdown
SUB,-2.202728359993042,0.09517952542412748,death_hospice,stepdown
hmc,-1.9360390350472874,0.127187134541998,death_hospice,stepdown
ohsu,-2.5071067440025456,0.2579173686891452,death_hospice,stepdown
Lakes,-2.2607955420963144,0.21790811821093806,death_hospice,stepdown
Northland,-2.2390251360589013,0.23768612038833525,death_hospice,stepdown
Riverside,-2.2229980359041943,0.24913779297168873,death_hospice,stepdown
Southdale,-2.398329852100349,0.08590786286205476,death_hospice,stepdown
UMMC,-2.231125972472284,0.1158157411980287,death_hospice,stepdown
BMC,-3.6220513585287883,0.06982149613018165,organ_failure_yn,icu
HCG,-3.412866608362802,0.10735689468856507,organ_failure_yn,icu
JHH,-3.4764644428047142,0.09650532290676161,organ_failure_yn,icu
SUB,-3.5788383865917277,0.1345667567074905,organ_failure_yn,icu
hmc,-2.946965487365218,0.19085483130999192,organ_failure_yn,icu
ohsu,-2.856174731021307,0.12732045750111587,organ_failure_yn,icu
Lakes,-3.4644231937007044,0.12134295256603883,organ_failure_yn,icu
Northland,-3.4256351348469334,0.19460644380769604,organ_failure_yn,icu
Riverside,-3.3696435077731,0.2983970006157956,organ_failure_yn,icu
Southdale,-3.041743353886594,0.16681259880403335,organ_failure_yn,icu
UMMC,-2.918081148886493,0.13742331046197798,organ_failure_yn,icu
BMC,-4.41282540779213,0.15105262116495372,organ_failure_yn,stepdown
HCG,-4.318723183141229,0.11583631604857052,organ_failure_yn,stepdown
JHH,-4.042200710400641,0.11300981504472736,organ_failure_yn,stepdown
SUB,-4.331079789800803,0.11869882094324301,organ_failure_yn,stepdown
hmc,-3.9420807443033814,0.1490721586719751,organ_failure_yn,stepdown
ohsu,-4.1838461023676095,0.26448679269453035,organ_failure_yn,stepdown
Lakes,-4.006124614993818,0.22691484992389863,organ_failure_yn,stepdown
Northland,-4.1636081388470645,0.2519042658155526,organ_failure_yn,stepdown
Riverside,-4.100146632773009,0.24562223374429368,organ_failure_yn,stepdown
Southdale,-4.151757837054723,0.10683881161805206,organ_failure_yn,stepdown
UMMC,-4.00165949181959,0.12723991325092088,organ_failure_yn,stepdown
